Part,Value,Device,Package,Description,VALUE
ANALOGSIDE1,HDR_13PINTHIN_RINGS,HDR_13PINTHIN_RINGS,1X13_THINRINGS,,
ANALOGSIDE2,HDR_13PINTHIN_RINGS,HDR_13PINTHIN_RINGS,1X13_THINRINGS,,
ATMEGA328,ATMega-328,ATMEGA168/328TQFP32,TQFP32-08,Atmel 32-pin 8-bit micro,
C1,1uF,CAP0603-CAP,0603-CAP,Capacitor,
C2,1u,CAP0603-CAP,0603-CAP,Capacitor,
C3,10u,CAP0805-CAP,0805-CAP,Capacitor,
C4,0.1,CAP0603-CAP,0603-CAP,Capacitor,
C5,0.1,CAP0603-CAP,0603-CAP,Capacitor,
C6,0.1uF,CAP0603-CAP,0603-CAP,Capacitor,
FTDI1,HDR_6PINTHINRINGS,HDR_6PINTHINRINGS,1X06_NS_THINRINGS,,
J1,4P-SMD-2.0-90D,GROVE-CONNECTOR-SMD-90D(4+2P-2.0),HW4-SMD-2.0-90D,320110032,4P-SMD-2.0-90D
J2,AIN/I2C,GROVE-CONNECTOR-SMD-90D(4+2P-2.0),HW4-SMD-2.0-90D,320110032,4P-SMD-2.0-90D
J3,4P-SMD-2.0-90D,GROVE-CONNECTOR-SMD-90D(4+2P-2.0),HW4-SMD-2.0-90D,320110032,4P-SMD-2.0-90D
J4,4P-SMD-2.0-90D,GROVE-CONNECTOR-SMD-90D(4+2P-2.0),HW4-SMD-2.0-90D,320110032,4P-SMD-2.0-90D
LED,LED0603,LED0603,0603-LED,,
MCP1703,MCP1703CB,MCP1703CB,SOT23,250 mA,
R1,10k,RESISTOR0603-RES,0603-RES,Resistor,
R2,1k5,RESISTOR0603-RES,0603-RES,Resistor,
SJ1,,SOLDERJUMPERREFLOW,SOLDERJUMPER_REFLOW,SMD Solder JUMPER,
SJ2,,SOLDERJUMPERREFLOW,SOLDERJUMPER_REFLOW,SMD Solder JUMPER,
SJ3,,SOLDERJUMPERREFLOW,SOLDERJUMPER_REFLOW,SMD Solder JUMPER,
U$1,"RFM12B_ANTENNA""""","RFM12B_ANTENNA""""",RFM12B-ANTENNA,,
U$2,FIDUCIAL1.5MM,FIDUCIAL1.5MM,FIDUCIAL_1.5MM,,
U$4,U.FL,U.FL,U.FL,SMD antenna connector- WRL-09144,
U$5,FIDUCIAL1.5MM,FIDUCIAL1.5MM,FIDUCIAL_1.5MM,,
U$6,FIDUCIAL1.5MM,FIDUCIAL1.5MM,FIDUCIAL_1.5MM,,
U$7,HDR_3PINTHINRINGS,HDR_3PINTHINRINGS,1X03_NS_THINRINGS,,
U$8,LORA-RA-02-433MHZ,LORA-RA-02-433MHZ,LORA-RA2-SMD,433 MHz Lora Ra-02 Radio Transceiver Module based on SX1276 chip.,
W25X40CLSNIG-ND,AT25F512BJEDEC_3.9MM,AT25F512BJEDEC_3.9MM,SO08,4-Mbit SPI flash memory,
XTAL1,16 MHz,RESONATORSMD,RESONATOR-SMD,Resonator,
