Part,Value,Device,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK
3D_FIX,Green,LEDCHIPLED_0603,CHIPLED_0603,LED,,,,
C1,0.1uF 10v,C-EUC0402,C0402,CAPACITOR,,,,
C2,0.1uF 10V,C-EUC0402,C0402,CAPACITOR,,,,
C3,0.1uF 10v,C-EUC0402,C0402,CAPACITOR,,,,
C4,10uF,C-EUC1206K,C1206K,CAPACITOR,,,,
C5,0.1uF 10v,C-EUC0402,C0402,CAPACITOR,,,,
EXT_ANT,White,LEDCHIPLED_0603,CHIPLED_0603,LED,,,,
GPS,L80,L80,L80,,,,,
GPS_ANT,NL,SMA-KE,SMA-KE,,,,,
GPS_CON,,PINHD-1X4,1X04,PIN HEADER,,,,
GPS_RXD,,PINHD-1X2,1X02,PIN HEADER,,,,
GPS_TXD,,PINHD-1X2,1X02,PIN HEADER,,,,
JP3,,PINHD-1X3,1X03,PIN HEADER,,,,
L1,JLC-PZ2012D800-3R0TF,BEADS0805,C0805,,,,,
L2,47nH,INDUCTOR_0402,C0402,INDUCTOR,,,,
LORA,RFM92_93W,RFM92_93W,RFM92_93W,,,,,
LORA-RX,BLUE,LEDCHIPLED_0603,CHIPLED_0603,LED,,,,
LORA_ANT,SMA-KE,SMA-KE,SMA-KE,,,,,
LORA_CON,,PINHD-1X7,1X07,PIN HEADER,,,,
PWR,Red,LEDCHIPLED_0603,CHIPLED_0603,LED,,,,
R1,330R,R-US_R0402,R0402,RESISTOR,,,,
R2,2.2K,R-US_R0402,R0402,RESISTOR,,,,
R3,47k,R-US_R0402,R0402,RESISTOR,,,,
R4,47k,R-US_R0402,R0402,RESISTOR,,,,
R5,330R,R-US_R0402,R0402,RESISTOR,,,,
R6,10R,R-US_R0402,R0402,RESISTOR,,,,
R7,330R,R-US_R0402,R0402,RESISTOR,,,,
R8,0R,R-US_R0805,R0805,RESISTOR,,,,
T1,AP2302GN-HF/SOT23,NMOSFET-SOT23,SOT-23,MOS FET,,,unknown,unknown
T2,AP2302GN-HF/SOT23,NMOSFET-SOT23,SOT-23,MOS FET,,,unknown,unknown
U$1,LOGO-NEW,LOGO-NEW,LOGO-SILK-NEW,,,,,
U$2,RPILORASHIELD,RPILORASHIELD,RPILORASHIELD,,,,,
